benchmark,task,metric,paper,ours,delta,wall_min,backend
GLUE,MNLI,accuracy,87.5,87.9,+0.4,615.2,
GLUE,SST2,accuracy,95.1,94.8,-0.3,209.6,
GLUE,MRPC,accuracy,89.7,88.2,-1.5,24.8,
GLUE,COLA,matthews_correlation,63.4,62.3,-1.1,37.5,
GLUE,QNLI,accuracy,93.3,92.8,-0.5,138.5,
GLUE,QQP,accuracy,90.8,90.8,+0.0,489.2,
GLUE,RTE,accuracy,86.6,79.1,-7.5,44.8,
GLUE,STSB,pearson,91.5,90.9,-0.6,13.4,
E2E,E2E,BLEU,70.40,65.78,-4.62,,official
E2E,E2E,NIST,8.85,8.41,-0.44,,official
E2E,E2E,METEOR,46.00,45.61,-0.39,,official
E2E,E2E,ROUGE_L,71.80,70.49,-1.31,,official
E2E,E2E,CIDEr,2.53,2.42,-0.11,,official
